timestamp,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged,copilot_nondraft,codex_nondraft,cursor_nondraft,devin_nondraft,codegen_nondraft
2025‑06‑09 18:01:07,14497,5785,223178,186266,764,586,27988,17026,3794,1396,6699,215014,731,25523,1573
2025‑06‑09 21:01:07,14573,5830,226196,188954,782,597,28013,17050,3823,1400,6753,217831,747,25539,1592
2025‑06‑10 00:02:00,14638,5867,228545,191005,795,608,28045,17078,3844,1408,6789,220327,759,25556,1608
2025‑06‑10 03:23:13,14660,5895,230792,192872,805,614,28044,17068,3867,1418,6833,222549,765,25576,1621
2025‑06‑10 06:01:01,14693,5938,232680,194475,821,622,28056,17079,3883,1427,6863,224242,777,25586,1634
2025‑06‑10 09:01:55,14738,5986,234733,196223,836,634,28080,17095,3895,1430,6925,226401,789,25603,1637
2025‑06‑10 12:01:23,14634,6025,237435,198531,847,644,28118,17133,3901,1430,6969,228787,801,25618,1640
2025‑06‑10 15:01:15,14703,6072,240364,201100,859,649,28146,17158,3907,1430,7019,231683,814,25640,1642
2025‑06‑10 18:01:12,14790,6127,243661,203958,874,656,28171,17173,3910,1430,7072,234745,826,25661,1642
2025‑06‑10 21:01:17,14921,6207,246577,206404,889,670,28204,17205,3918,1430,7121,237461,832,25670,1644
2025‑06‑11 00:02:05,15000,6257,249119,208528,903,677,28229,17213,3926,1433,7171,239988,848,25692,1648
2025‑06‑11 03:22:41,15078,6302,251304,210456,912,683,28157,17141,3931,1433,7223,242223,853,25717,1649
2025‑06‑11 06:01:07,15172,6365,253021,211954,921,691,28178,17152,3935,1434,7291,243877,862,25734,1650
2025‑06‑11 09:01:37,15229,6391,255138,213747,927,697,28205,17181,3938,1436,7329,246014,869,25755,1653
2025‑06‑11 12:01:15,15284,6425,257837,216098,927,697,28233,17202,3939,1436,7368,248443,869,25775,1654
2025‑06‑11 15:01:03,15378,6489,260737,218669,935,702,28230,17203,3940,1437,7414,251233,885,25786,1656
2025‑06‑11 18:01:07,15462,6546,263509,221046,952,712,28213,17184,3971,1455,7474,254034,902,25806,1675
2025‑06‑11 21:01:14,15561,6607,266480,223695,964,720,28226,17186,3991,1466,7542,256901,912,25823,1685
2025‑06‑12 00:02:07,15664,6675,268861,225836,977,729,28249,17205,4028,1479,7623,259374,926,25847,1704
2025‑06‑12 03:21:37,15704,6709,271237,227923,983,735,28283,17227,4031,1479,7668,261610,935,25883,1711
2025‑06‑12 06:01:00,15728,6743,273103,229529,988,739,28317,17253,4031,1480,7706,263292,942,25907,1711
2025‑06‑12 09:01:02,15768,6794,275293,231473,998,747,28350,17276,4048,1482,7753,265329,951,25928,1719
2025‑06‑12 12:01:10,15794,6824,277604,233461,1008,753,28350,17293,4075,1486,7788,267771,963,25952,1730
2025‑06‑12 15:01:03,15904,6878,280944,236477,1018,759,28378,17314,4082,1487,7851,270669,972,25982,1733
2025‑06‑12 18:01:02,16024,6936,283522,238719,1025,760,28431,17341,4089,1488,7909,273500,981,26024,1737
2025‑06‑12 21:01:11,16092,6973,285938,240838,1030,765,28449,17344,4095,1488,7942,276044,986,26041,1742
2025‑06‑13 00:02:05,16150,7022,287960,242623,1032,772,28461,17349,4113,1496,7985,278106,997,26056,1756
2025‑06‑13 03:22:50,16279,7080,289986,244417,1039,779,28468,17354,4123,1496,8054,280221,1001,26079,1763
2025‑06‑13 06:01:09,16352,7168,291532,245796,1040,781,28477,17361,4129,1496,8111,281636,1001,26092,1766
2025‑06‑13 09:01:04,16521,7321,293311,247344,1050,785,28509,17385,4067,1497,8160,283349,1012,26117,1730
2025‑06‑13 12:01:10,16562,7351,295753,249575,1062,795,28535,17406,4072,1498,8193,285591,1024,26146,1731
2025‑06‑13 15:01:14,16664,7407,298105,251566,1075,806,28563,17428,4045,1498,8252,288264,1036,26168,1733
2025‑06‑13 18:01:14,16721,7457,299655,252892,1093,828,28597,17448,4048,1501,8314,290610,1049,26203,1735
2025‑06‑13 21:00:57,16813,7514,302297,255225,1103,831,28613,17461,4050,1501,8403,293114,1060,26219,1736
2025‑06‑14 00:02:04,16896,7580,304282,257019,1108,835,28629,17470,4055,1501,8470,295185,1065,26235,1738
2025‑06‑14 03:19:32,16946,7625,306397,258872,1114,839,28629,17469,4064,1503,8512,296794,1071,26245,1742
2025‑06‑14 06:01:07,16968,7652,308044,260337,1116,841,28651,17485,4066,1504,8539,298154,1073,26267,1744
2025‑06‑14 09:00:55,16975,7685,309445,261604,1125,847,28603,17446,4068,1504,8570,299680,1079,26279,1745
